Serial number,id,Locations,Latitude,Longitude
52,a81758fffe03104a,TY-2906,65.0587717,25.46490647
53,a81758fffe031039,TY-2813,65.05862749,25.4649514
54,a81758fffe03103c,TY-2812,65.05864813,25.46494938
55,a81758fffe031043,TY-2811,65.05867132,25.46495207
56,a81758fffe031044,TY-2810,65.05869196,25.46495207
57,a81758fffe031045,TY-2809,65.05871034,25.46495005
58,a81758fffe031046,TY-2808,65.05872872,25.46495005
59,a81758fffe031048,TY-2807,65.05874993,25.46495005
60,a81758fffe031049,TY-2806,65.05876944,25.46495073
61,a81758fffe030f75,TY-2805,65.05878951,25.46495207
62,a81758fffe030f74,TY-2804,65.05880818,25.46495408
63,a81758fffe030f73,TY-2803,65.05882656,25.46495341
